Date,Entry Time,Signal,Regime,Exit Reason,PnL,Entry,Exit,Ticker
2025-12-04,2025-12-04 10:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),10.0,15989.0,15979.0,MARUTI
2025-12-09,2025-12-09 09:45:00+05:30,SHORT,BEARISH,Hard SL,-81.0,16004.0,16085.0,MARUTI
2025-12-16,2025-12-16 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-37.0,16362.0,16399.0,MARUTI
2025-12-29,2025-12-29 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),1.0,16596.0,16595.0,MARUTI
2026-01-09,2026-01-09 10:00:00+05:30,SHORT,BEARISH,EOD Square Off,54.0,16554.0,16500.0,MARUTI
2026-01-12,2026-01-12 10:30:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-103.0,16327.0,16430.0,MARUTI
2026-01-14,2026-01-14 11:00:00+05:30,SHORT,BEARISH,EOD Square Off,172.0,16324.0,16152.0,MARUTI
2026-01-16,2026-01-16 11:30:00+05:30,SHORT,BEARISH,EOD Square Off,107.0,15966.0,15859.0,MARUTI
2026-01-21,2026-01-21 10:15:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-54.0,15772.0,15826.0,MARUTI
2026-01-23,2026-01-23 10:45:00+05:30,SHORT,BEARISH,EOD Square Off,124.0,15635.0,15511.0,MARUTI
2026-02-09,2026-02-09 10:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-87.0,14951.0,15038.0,MARUTI
2026-02-13,2026-02-13 09:45:00+05:30,SHORT,BEARISH,Hard SL,-50.5,15271.0,15321.5,MARUTI
2026-02-16,2026-02-16 10:15:00+05:30,SHORT,BEARISH,EOD Square Off,40.0,15100.0,15060.0,MARUTI
2026-02-19,2026-02-19 11:45:00+05:30,SHORT,BEARISH,EOD Square Off,244.0,15147.0,14903.0,MARUTI
2026-02-24,2026-02-24 10:00:00+05:30,SHORT,BEARISH,EOD Square Off,5.0,14931.0,14926.0,MARUTI
2025-12-01,2025-12-01 12:45:00+05:30,SHORT,BEARISH,EOD Square Off,44.0,7331.5,7287.5,APOLLOHOSP
2025-12-02,2025-12-02 09:45:00+05:30,SHORT,BEARISH,Hard SL,-36.5,7241.5,7278.0,APOLLOHOSP
