Time,Ticker,Signal,Entry_Price,Qty,SL,Target,Notes,Exit_Time,Exit_Price,Exit_Reason,PnL,Status
2026-01-27 22:03:56.632430,HCLTECH.NS,LONG,1720.199951171875,219,1715.6463535853795,1729.31,"[SNIPER] AI Error (429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash-exp
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash-exp
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash-exp
Please retry in 3.482605916s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 3
}
]) - Defaulting to Valid",2026-01-31 09:20:12.085869,1691.4000244140625,SL HIT,-6307.1839599609375,CLOSED
2026-01-27 22:05:35.456790,HCLTECH.NS,LONG,1720.199951171875,219,1715.6463535853795,1729.31,"[SNIPER] AI Error (429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash-exp
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash-exp
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash-exp
Please retry in 24.594818249s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 24
}
]) - Defaulting to Valid",2026-01-31 09:20:12.088352,1691.4000244140625,SL HIT,-6307.1839599609375,CLOSED
2026-01-27 22:07:19.236936,HCLTECH.NS,LONG,1720.199951171875,219,1715.6463535853795,1729.31,"[SNIPER] AI Error (429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash-exp
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash-exp
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash-exp
Please retry in 40.786399135s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 40
}
]) - Defaulting to Valid",2026-01-31 09:20:12.090441,1691.4000244140625,SL HIT,-6307.1839599609375,CLOSED
2026-01-27 22:08:55.470827,HCLTECH.NS,LONG,1720.199951171875,219,1715.6463535853795,1729.31,"[SNIPER] AI Error (429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash-exp
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash-exp
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash-exp
Please retry in 4.553534355s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 4
}
]) - Defaulting to Valid",2026-01-31 09:20:12.092458,1691.4000244140625,SL HIT,-6307.1839599609375,CLOSED
2026-01-27 22:10:32.205432,HCLTECH.NS,LONG,1720.199951171875,219,1715.6463535853795,1729.31,"[SNIPER] AI Error (429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash-exp
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash-exp
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash-exp
Please retry in 27.814083808s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash-exp""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 27
}
]) - Defaulting to Valid",2026-01-31 09:20:12.094259,1691.4000244140625,SL HIT,-6307.1839599609375,CLOSED
2026-01-27 22:12:12.889802,HCLTECH.NS,LONG,1720.199951171875,219,1715.6463535853795,1729.31,"[SNIPER] AI Error (400 API key expired. Please renew the API key. [reason: ""API_KEY_INVALID""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
, locale: ""en-US""
message: ""API key expired. Please renew the API key.""
]) - Defaulting to Valid",2026-01-31 09:20:12.096023,1691.4000244140625,SL HIT,-6307.1839599609375,CLOSED
2026-01-27 22:13:53.129827,HCLTECH.NS,LONG,1720.199951171875,219,1715.6463535853795,1729.31,"[SNIPER] AI Error (400 API key expired. Please renew the API key. [reason: ""API_KEY_INVALID""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
, locale: ""en-US""
message: ""API key expired. Please renew the API key.""
]) - Defaulting to Valid",2026-01-31 09:20:12.097756,1691.4000244140625,SL HIT,-6307.1839599609375,CLOSED
2026-01-27 22:16:04.584831,HCLTECH.NS,LONG,1720.199951171875,219,1715.6463535853795,TRAIL EMA20,"[SURFER] This is a high-conviction LONG setup. The Narrow CPR indicates potential for a large trend day, which is confirmed by the price trading significantly above both the Upper CPR and VWAP. Crucially, Volume is 60% higher than average, validating the upward movement and suggesting a strong breakout.",2026-01-31 09:20:12.099585,1691.4000244140625,TRAIL SL HIT,-6307.1839599609375,CLOSED
2026-01-27 22:17:50.939751,HCLTECH.NS,LONG,1720.199951171875,219,1715.6463535853795,TRAIL EMA20,"[SURFER] This is a high-conviction LONG setup. Price is trading strongly above VWAP and the CPR levels. The RSI (62) confirms strong momentum, and critically, Volume is significantly higher than the 20-period SMA, confirming the validity of the breakout. The Narrow CPR supports the expectation of a trending day.",2026-01-31 09:20:12.101314,1691.4000244140625,TRAIL SL HIT,-6307.1839599609375,CLOSED
2026-01-27 22:19:41.052849,HCLTECH.NS,LONG,1720.199951171875,219,1715.6463535853795,TRAIL EMA20,"[SURFER] This is a high probability LONG setup. The trade aligns with a BULLISH bias, price is trading strongly above VWAP and the Upper CPR. Crucially, the combination of a Narrow CPR and high volume (Volume 80.2K vs SMA 49.8K) indicates strong directional conviction and confirms a potential trend day.",2026-01-31 09:20:12.102958,1691.4000244140625,TRAIL SL HIT,-6307.1839599609375,CLOSED
